site,label,trt,total blocks,vegetation,no vegetation,percent cover,transformed,0-25_blue,25-50_green,50-75_red,75-100_yellow,number of val blooms,number of lilly pads
3,A2,Val,625,0,625,0,0,0,0,0,0,10,
3,A3,Val + Lilly,625,1.5,623.5,0.0024,0.049009412,6,0,0,0,13,3
2,B3,Val + Lilly,625,35.75,589.25,0.0572,0.241506024,16,10,17,14,9,23
2,B4,Najas + Lilly,625,53,572,0.0848,0.295485555,21,16,21,24,,24
2,B5,All,625,24,601,0.0384,0.197235498,19,11,9,7,0,11
2,B6,Lilly,625,26.75,598.25,0.0428,0.208386533,17,11,8,11,,16
8,D4,Najas + Lilly,625,6.5,618.5,0.0104,0.102157989,4,3,4,1,,7
8,D5,All,625,0,625,0,0,0,0,0,0,11,0
8,D6,Lilly,625,12.25,612.75,0.0196,0.140461415,9,6,4,4,,10
3,A1,control,625,0,625,0,0,0,0,0,0,,
3,A4,Najas + Lilly,625,0,625,0,0,0,0,0,0,,0
3,A5,All,625,0,625,0,0,0,0,0,0,0,0
3,A6,Lilly,625,0,625,0,0,0,0,0,0,,0
3,A7,Najas,625,0,625,0,0,0,0,0,0,,
2,B1,control,625,0,625,0,0,0,0,0,0,,
2,B2,Val,625,0,625,0,0,0,0,0,0,0,
2,B7,Najas,625,0,625,0,0,0,0,0,0,,
12,C1,control,625,0,625,0,0,0,0,0,0,,
12,C2,Val,625,0,625,0,0,0,0,0,0,0,
12,C3,Val + Lilly,625,0,625,0,0,0,0,0,0,0,0
12,C4,Najas + Lilly,625,0,625,0,0,0,0,0,0,,0
12,C5,All,625,0,625,0,0,0,0,0,0,0,0
12,C6,Lilly,625,0,625,0,0,0,0,0,0,,0
12,C7,Najas,625,0,625,0,0,0,0,0,0,,
8,D1,control,625,0,625,0,0,0,0,0,0,,
8,D2,Val,625,0,625,0,0,0,0,0,0,0,
8,D3,Val + Lilly,625,0,625,0,0,0,0,0,0,0,0
8,D7,Najas,625,0,625,0,0,0,0,0,0,,
